Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,11/06/2021 21:00,Olimpico in Rome,Turkey,Italy,Group A,0 - 3
2,1,12/06/2021 15:00,Baki Olimpiya Stadionu,Wales,Switzerland,Group A,1 - 1
3,1,12/06/2021 18:00,Parken,Denmark,Finland,Group B,0 - 1
4,1,12/06/2021 21:00,Saint Petersburg Stadium,Belgium,Russia,Group B,3 - 0
5,1,13/06/2021 15:00,Wembley Stadium,England,Croatia,Group D,1 - 0
6,1,13/06/2021 18:00,Arena Nationala,Austria,North Macedonia,Group C,3 - 1
7,1,13/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Ukraine,Group C,3 - 2
8,1,14/06/2021 15:00,Hampden Park,Scotland,Czech Republic,Group D,0 - 2
9,1,14/06/2021 18:00,Saint Petersburg Stadium,Poland,Slovakia,Group E,1 - 2
10,1,14/06/2021 21:00,Estadio La Cartuja,Spain,Sweden,Group E,0 - 0
11,1,15/06/2021 18:00,Puskás Aréna,Hungary,Portugal,Group F,0 - 3
12,1,15/06/2021 21:00,Fußball Arena München,France,Germany,Group F,1 - 0
13,2,16/06/2021 15:00,Saint Petersburg Stadium,Finland,Russia,Group B,0 - 1
14,2,16/06/2021 18:00,Baki Olimpiya Stadionu,Turkey,Wales,Group A,0 - 2
15,2,16/06/2021 21:00,Olimpico in Rome,Italy,Switzerland,Group A,3 - 0
16,2,17/06/2021 15:00,Arena Nationala,Ukraine,North Macedonia,Group C,2 - 1
17,2,17/06/2021 18:00,Parken,Denmark,Belgium,Group B,1 - 2
18,2,17/06/2021 21:00,Johan Cruijff ArenA,Netherlands,Austria,Group C,2 - 0
19,2,18/06/2021 15:00,Saint Petersburg Stadium,Sweden,Slovakia,Group E,1 - 0
20,2,18/06/2021 18:00,Hampden Park,Croatia,Czech Republic,Group D,1 - 1
21,2,18/06/2021 21:00,Wembley Stadium,England,Scotland,Group D,0 - 0
22,2,19/06/2021 15:00,Puskás Aréna,Hungary,France,Group F,1 - 1
23,2,19/06/2021 18:00,Fußball Arena München,Portugal,Germany,Group F,2 - 4
24,2,19/06/2021 21:00,Estadio La Cartuja,Spain,Poland,Group E,1 - 1
25,3,20/06/2021 18:00,Olimpico in Rome,Italy,Wales,Group A,1 - 0
26,3,20/06/2021 18:00,Baki Olimpiya Stadionu,Switzerland,Turkey,Group A,3 - 1
27,3,21/06/2021 18:00,Arena Nationala,Ukraine,Austria,Group C,0 - 1
28,3,21/06/2021 18:00,Johan Cruijff ArenA,North Macedonia,Netherlands,Group C,0 - 3
29,3,21/06/2021 21:00,Saint Petersburg Stadium,Finland,Belgium,Group B,0 - 2
30,3,21/06/2021 21:00,Parken,Russia,Denmark,Group B,1 - 4
31,3,22/06/2021 21:00,Wembley Stadium,Czech Republic,England,Group D,0 - 1
32,3,22/06/2021 21:00,Hampden Park,Croatia,Scotland,Group D,3 - 1
33,3,23/06/2021 18:00,Saint Petersburg Stadium,Sweden,Poland,Group E,3 - 2
34,3,23/06/2021 18:00,Estadio La Cartuja,Slovakia,Spain,Group E,0 - 5
35,3,23/06/2021 21:00,Fußball Arena München,Germany,Hungary,Group F,2 - 2
36,3,23/06/2021 21:00,Puskás Aréna,Portugal,France,Group F,2 - 2
37,Round of 16,26/06/2021 18:00,Johan Cruijff ArenA,Wales,Denmark,,0 - 4
38,Round of 16,26/06/2021 21:00,Wembley Stadium,Italy,Austria,,2 - 1
39,Round of 16,27/06/2021 18:00,Puskás Aréna,Netherlands,Czech Republic,,0 - 2
40,Round of 16,27/06/2021 21:00,Estadio La Cartuja,Belgium,Portugal,,1 - 0
41,Round of 16,28/06/2021 18:00,Parken,Croatia,Spain,,3 - 5
42,Round of 16,28/06/2021 21:00,Arena Nationala,France,Switzerland,,3 - 3
43,Round of 16,29/06/2021 18:00,Wembley Stadium,England,Germany,,2 - 0
44,Round of 16,29/06/2021 21:00,Hampden Park,Sweden,Ukraine,,1 - 2
45,Quarter Finals,02/07/2021 18:00,Saint Petersburg Stadium,Switzerland,Spain,,1 - 1
46,Quarter Finals,02/07/2021 21:00,Fußball Arena München,Belgium,Italy,,1 - 2
47,Quarter Finals,03/07/2021 18:00,Baki Olimpiya Stadionu,Czech Republic,Denmark,,1 - 2
48,Quarter Finals,03/07/2021 21:00,Olimpico in Rome,Ukraine,England,,0 - 4
49,Semi Finals,06/07/2021 21:00,Wembley Stadium,Italy,Spain,,1 - 1
50,Semi Finals,07/07/2021 21:00,Wembley Stadium,England,Denmark,,2 - 1
51,Final,11/07/2021 21:00,Wembley Stadium,Italy,England,,1 - 1
