lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,beta_raw.1,beta_raw.2,beta_raw.3,beta_raw.4,beta_raw.5,beta_raw.6,beta_raw.7,beta_raw.8,beta_raw.9,beta_raw.10,beta_raw.11,beta_raw.12,beta_raw.13,beta_raw.14,beta_raw.15,beta_raw.16,beta_raw.17,beta_raw.18,beta_raw.19,beta_raw.20,beta_raw.21,beta_raw.22,beta_raw.23,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,norm
# Adaptation terminated
# Step size = 0.151695
# Diagonal elements of inverse mass matrix:
# 0.404582, 0.224494, 0.685881, 0.456659, 0.380265, 0.414224, 0.196387, 0.285231, 0.234337, 0.209745, 0.502202, 0.370394, 0.162439, 0.419093, 0.274297, 0.377738, 0.553896, 0.774812, 0.407203, 0.474986, 0.134483, 0.216251, 0.192005, 0.657311, 0.300013, 0.233999, 0.493815, 0.268941, 0.273315, 0.285334, 0.17061, 0.270636, 0.160861, 0.263417, 0.31326, 0.282115, 0.149221, 0.237485, 0.392068, 0.247231, 0.248677, 0.557605, 0.293086, 0.432522, 0.242783, 0.296433, 0.171184
-107.216,0.974256,0.151695,5,31,0,135.863,1.17244,1.2377,0.331018,0.955121,1.45294,1.28451,1.64749,0.437638,1.63253,4.64423,1.18354,0.590901,1.15079,0.8287,0.273764,0.487043,3.47917,1.84281,0.275648,2.39772,1.18849,1.7672,1.58971,1.52064,-0.755499,0.272737,0.481753,-0.668034,-0.673171,1.39414,-0.195261,-0.540824,-0.893298,1.78241,0.506973,0.136123,-0.736008,-1.20888,0.845617,-1.34889,-0.312673,1.27433,-0.388685,0.726403,0.57263,2.24435,-0.72269,-0.755499,0.272737,0.481753,-0.668034,-0.673171,1.39414,-0.195261,-0.540824,-0.893298,1.78241,0.506973,0.136123,-0.736008,-1.20888,0.845617,-1.34889,-0.312673,1.27433,-0.388685,0.726403,0.57263,2.24435,-0.72269,-1.79354,1.79354
-112.712,0.940335,0.151695,5,31,0,131.208,0.541327,0.889513,0.318996,1.38549,0.244982,2.19948,1.17426,0.695037,0.671258,2.80804,2.61348,0.593796,0.780491,0.972278,1.83442,0.764046,1.08244,0.650258,1.30356,0.491951,2.33101,3.44672,0.336046,0.15908,-0.216315,-1.33427,-0.863812,-1.06178,-0.598486,-0.529722,1.79296,1.80777,-0.233815,0.721131,0.818892,0.360011,0.305315,-0.232569,-0.164054,-0.949697,0.473928,0.268538,-1.05943,1.06274,0.787042,-0.157887,-0.517817,-0.216315,-1.33427,-0.863812,-1.06178,-0.598486,-0.529722,1.79296,1.80777,-0.233815,0.721131,0.818892,0.360011,0.305315,-0.232569,-0.164054,-0.949697,0.473928,0.268538,-1.05943,1.06274,0.787042,-0.157887,-0.517817,-0.478677,0.478677
-115.739,0.912855,0.151695,5,31,0,144.371,3.27339,1.21593,0.694111,1.76954,1.53933,0.462414,0.962144,0.313987,1.10718,2.39765,1.03946,0.658245,0.781408,0.806856,0.127991,0.655166,4.11812,0.521115,0.504359,1.31515,2.92684,1.2708,1.74705,1.55583,-0.63734,1.55564,1.49884,-0.00796044,-0.613924,1.0564,-0.316449,-0.251372,-0.591095,1.02084,0.0189283,0.627676,-0.874497,-1.09897,0.468907,-0.315702,-0.437195,-0.288933,-0.196116,-0.758464,0.641456,1.36094,-0.6538,-0.63734,1.55564,1.49884,-0.00796044,-0.613924,1.0564,-0.316449,-0.251372,-0.591095,1.02084,0.0189283,0.627676,-0.874497,-1.09897,0.468907,-0.315702,-0.437195,-0.288933,-0.196116,-0.758464,0.641456,1.36094,-0.6538,-1.20781,1.20781
-116.168,0.960791,0.151695,5,31,0,141.548,1.25962,1.15518,0.672402,1.34279,0.996629,0.657259,0.806736,0.66721,1.1317,2.26725,0.466875,0.451445,1.08083,0.85491,0.123897,0.576398,1.41091,0.106842,0.292425,1.99734,2.20728,1.26687,1.89813,0.544488,-0.272882,1.57259,0.598105,-0.101512,-0.343661,0.652232,-0.638457,0.466052,-0.800849,0.471176,0.0921133,0.693654,-0.523861,-0.490904,0.419631,-0.417756,-0.429007,0.326266,-0.229428,-0.879638,0.10819,1.75588,-1.17417,-0.272882,1.57259,0.598105,-0.101512,-0.343661,0.652232,-0.638457,0.466052,-0.800849,0.471176,0.0921133,0.693654,-0.523861,-0.490904,0.419631,-0.417756,-0.429007,0.326266,-0.229428,-0.879638,0.10819,1.75588,-1.17417,-0.853773,0.853773
-109.453,0.997122,0.151695,5,31,0,140.02,0.97666,3.02419,0.478849,1.16593,1.63086,0.507385,0.858776,0.571246,3.31125,1.8888,1.00646,0.678805,0.639245,0.92294,3.90452,1.14346,0.452008,1.69443,1.40848,0.352602,1.96405,1.59305,0.89834,0.563711,-0.337035,-1.14275,-0.114757,-0.985848,-0.613027,-0.00378499,1.53579,0.358082,-0.521053,-0.0111258,-0.173354,0.288867,0.26438,-0.401055,0.440797,-0.442539,-0.533175,-0.907353,-0.595014,1.58249,1.69642,0.947478,-0.0598867,-0.337035,-1.14275,-0.114757,-0.985848,-0.613027,-0.00378499,1.53579,0.358082,-0.521053,-0.0111258,-0.173354,0.288867,0.26438,-0.401055,0.440797,-0.442539,-0.533175,-0.907353,-0.595014,1.58249,1.69642,0.947478,-0.0598867,-0.272543,0.272543
-111.556,0.995075,0.151695,5,31,0,137.987,0.708286,1.64752,0.813906,1.99021,1.38371,0.707322,2.03375,0.889375,2.45874,3.23378,0.869115,1.1551,1.22898,1.33432,1.5713,0.627617,0.39675,2.23706,1.95098,0.613532,1.90899,1.57454,0.604582,0.655961,-0.983992,-1.4068,0.728205,-0.797963,0.438381,0.0121087,0.791407,1.11167,-0.725904,-0.563367,-0.357443,-0.145584,-0.216818,-0.285066,0.604281,-0.561226,-1.0088,0.0300186,-1.31802,1.49287,2.2593,0.833806,0.42689,-0.983992,-1.4068,0.728205,-0.797963,0.438381,0.0121087,0.791407,1.11167,-0.725904,-0.563367,-0.357443,-0.145584,-0.216818,-0.285066,0.604281,-0.561226,-1.0088,0.0300186,-1.31802,1.49287,2.2593,0.833806,0.42689,-0.357949,0.357949
-97.0831,1,0.151695,5,31,0,126.901,1.28838,2.63237,0.509628,1.08348,0.574828,1.11605,1.01335,0.723533,2.10539,2.2448,0.281536,1.00485,1.88975,1.64878,1.73843,0.698628,0.485673,1.94378,1.09342,0.834855,1.12987,1.36622,1.6397,0.479619,-0.584585,-0.329942,-0.296239,-0.788649,-0.526023,0.379985,0.77415,0.820273,-0.909376,0.0285136,-0.495178,-0.148116,0.26309,-0.539028,-0.459441,-0.371471,-0.367528,-0.302386,0.192733,0.7806,1.88939,1.15785,0.26549,-0.584585,-0.329942,-0.296239,-0.788649,-0.526023,0.379985,0.77415,0.820273,-0.909376,0.0285136,-0.495178,-0.148116,0.26309,-0.539028,-0.459441,-0.371471,-0.367528,-0.302386,0.192733,0.7806,1.88939,1.15785,0.26549,-0.434112,0.434112
-103.157,0.993068,0.151695,5,31,0,119.24,0.475848,1.66736,0.187978,1.41023,3.38105,0.353316,1.69598,0.649629,2.0708,1.95638,1.41173,0.492009,1.26821,1.59761,1.30532,0.282017,1.80832,0.651417,0.223617,0.872105,2.4275,0.956912,1.49487,0.425976,-0.460627,0.367522,-0.6565,-0.973769,0.582212,-0.00144434,-0.366553,2.23783,0.377001,0.230626,-0.401602,-0.272445,-0.0735977,-0.480504,1.79689,-1.44587,-1.02917,0.115811,-1.50958,1.34226,1.14607,1.15061,-0.0121807,-0.460627,0.367522,-0.6565,-0.973769,0.582212,-0.00144434,-0.366553,2.23783,0.377001,0.230626,-0.401602,-0.272445,-0.0735977,-0.480504,1.79689,-1.44587,-1.02917,0.115811,-1.50958,1.34226,1.14607,1.15061,-0.0121807,-1.66299,1.66299
-94.3764,0.995703,0.151695,5,31,0,120.893,1.81513,2.89607,0.51954,1.13461,0.825045,1.33034,0.5489,1.22264,1.98523,2.17306,0.724319,2.74924,1.65549,2.91224,1.90848,1.2345,0.365824,0.301391,1.04739,0.448977,1.92183,1.28583,2.94872,0.314101,0.1096,-0.022719,0.318824,0.113111,-0.168021,-0.294511,0.251312,1.32432,-0.138074,0.0703968,-0.295768,-0.289009,0.297563,-0.489185,0.471557,-0.636546,-0.29599,-0.127974,-0.0780183,-0.333473,0.360162,0.308768,0.280456,0.1096,-0.022719,0.318824,0.113111,-0.168021,-0.294511,0.251312,1.32432,-0.138074,0.0703968,-0.295768,-0.289009,0.297563,-0.489185,0.471557,-0.636546,-0.29599,-0.127974,-0.0780183,-0.333473,0.360162,0.308768,0.280456,-0.736779,0.736779
-91.1735,0.923539,0.151695,4,15,0,116.944,1.33484,2.46393,0.644815,0.822024,0.956818,0.867683,0.510073,0.684822,1.59978,2.00418,0.983425,2.76456,1.40681,2.46078,1.21025,1.04465,0.585934,0.341775,1.19747,0.403553,2.2391,1.47742,1.83177,0.675525,-0.0116936,0.0745778,0.111012,0.198482,0.101899,-0.0582894,0.291598,0.845598,-0.246877,-0.141905,-0.377672,-0.476696,0.478861,-0.182973,0.746378,-0.915778,-0.284689,-0.248605,-0.220189,-0.367164,0.432204,0.514316,0.00775816,-0.0116936,0.0745778,0.111012,0.198482,0.101899,-0.0582894,0.291598,0.845598,-0.246877,-0.141905,-0.377672,-0.476696,0.478861,-0.182973,0.746378,-0.915778,-0.284689,-0.248605,-0.220189,-0.367164,0.432204,0.514316,0.00775816,-0.270153,0.270153
